1,Reconocimiento y Recompensa,Promociones y Ascensos,"En la empresa las personas que tienen un buen desempeño, tienen oportunidades de desarrollo."
2,Reconocimiento y Recompensa,Reconocimiento,En la empresa todos somos tomados en cuenta como personas no sólo como colaboradores.
3,Desafío y Oportunidad de Desarrollo,Motivación,Mi trabajo me conduce al desarrollo de mi plan de vida y carrera.
4,Reconocimiento y Recompensa,Reconocimiento,Mi opinión cuenta para la toma de decisiones en mi departamento.
5,Desafío y Oportunidad de Desarrollo,Capacitación,Me siento capacitado para desempeñar mi trabajo.
6,Estructura y Rumbo Organizacional,Comunicación Organizacional,Estoy oportunamente comunicado acerca de lo que sucede en la empresa.
7,Estilos de Liderazgo y Supervisión,Comunicación Jefe-Colaborador,Cuento con el apoyo de mi jefe para resolver las dudas e inquietudes sobre mi trabajo.
8,Sentido de Pertenencia,"Eventos deportivos, sociales y culturales","La calidad de los eventos deportivos, sociales y culturales que organiza la empresa es buena."
9,Estilos de Liderazgo y Supervisión,Compromiso en equipo,En mi departamento existe compañerismo y cooperación.
10,Sentido de Pertenencia,Integración a la Empresa,Recomendaría la empresa como un buen lugar para trabajar.
11,Servicios y Condiciones de Trabajo,Instalaciones de la empresa,La empresa se preocupa porque tengamos instalaciones y servicios adecuados.
12,Estructura y Rumbo Organizacional,Valores,Conozco los valores de la empresa.
13,Servicios y Condiciones de Trabajo,Maquinaria y herramientas,La empresa me proporciona las herramientas necesarias para realizar mi trabajo con calidad.
14,Estructura y Rumbo Organizacional,Valores,Practico los valores de la empresa.
15,Estilos de Liderazgo y Supervisión,Comunicación Jefe-Colaborador,Mi jefe se interesa en escuchar lo que tengo que decir.
16,Servicios y Condiciones de Trabajo,Maquinaria y herramientas,Cuento con el equipo y herramientas suficientes para desempeñar mi trabajo.
17,Estilos de Liderazgo y Supervisión,Relación Jefe-Colaborador,La información que recibo de mi jefe para hacer mi trabajo es adecuada y suficiente.
18,Estilos de Liderazgo y Supervisión,Relación Jefe-Colaborador,Cuando cometo un error el trato de mi jefe es respetuoso y constructivo.
19,Sentido de Pertenencia,Contribución,Conozco bien lo que la empresa espera de mi trabajo.
20,Desafío y Oportunidad de Desarrollo,Capacitación,La cantidad de cursos y pláticas que la empresa me ha brindado ha sido la adecuada.
21,Desafío y Oportunidad de Desarrollo,Motivación,Tengo interés en mejorar la forma en cómo hago mi trabajo.
22,Servicios y Condiciones de Trabajo,Seguridad Industrial,Las condiciones de seguridad de mi área de trabajo son adecuadas.
23,Sentido de Pertenencia,Integración a la Empresa,No me iría de la empresa si me ofrecieran un puesto similar en otra empresa.
24,Estilos de Liderazgo y Supervisión,Relación Jefe-Colaborador,La relación que tengo con mi jefe es de respeto.
25,Estructura y Rumbo Organizacional,Mejora Continua,En la empresa la calidad es un valor importante.
26,Reconocimiento y Recompensa,Compensación,En mi empresa existen buenas prestaciones.
27,Servicios y Condiciones de Trabajo,Ambiente de Trabajo,En la empresa se me trata con dignidad y respeto.
28,Reconocimiento y Recompensa,Reconocimiento,La empresa considera a su personal como un elemento de gran valor.
29,Reconocimiento y Recompensa,Compensación,"Comparado con otras empresas, el salario que se me paga es bueno."
30,Sentido de Pertenencia,Estabilidad en el Empleo,Puedo decirle a mi jefe libremente cuando estoy en desacuerdo con él.
31,Servicios y Condiciones de Trabajo,Instalaciones de la empresa,"Las instalaciones de la empresa (baños, ventilación, luz, aire acondicionado, etc.) contribuyen al mejor desempeño de mi trabajo."
32,Reconocimiento y Recompensa,Promociones y Ascensos,La asignación de categorías y promociones se maneja de forma justa y adecuada.
33,Servicios y Condiciones de Trabajo,Relación con Compañeros,Cuando cometo un error el trato de mis compañeros es respetuoso y constructivo.
34,Estilos de Liderazgo y Supervisión,Relación Jefe-Colaborador,Considero que mi jefe maneja adecuadamente los conflictos de mi departamento.
35,Reconocimiento y Recompensa,Evaluación del Desempeño,Soy retroalimentado acerca de mis fuerzas y debilidades.
36,Estructura y Rumbo Organizacional,Mejora Continua,En la empresa valoramos la calidad.
37,Desafío y Oportunidad de Desarrollo,Capacitación,El tipo de cursos y pláticas que mi empresa me ha brindado me sirven para crecer en lo personal.
38,Desafío y Oportunidad de Desarrollo,Motivación,Me gusta mi trabajo.
39,Sentido de Pertenencia,Relación Empresa-Familia-Amigos,A mi familia y amigos les gusta que yo trabaje en esta empresa.
40,Sentido de Pertenencia,Contribución,Mis resultados contribuyen al éxito de la empresa.
41,Estructura y Rumbo Organizacional,Mejora Continua,Conozco la política y los objetivos de calidad de la empresa.
42,Reconocimiento y Recompensa,Reconocimiento,Recibo reconocimiento cuando hago bien mi trabajo.
43,Estructura y Rumbo Organizacional,Comunicación Organizacional,Considero que existen buenos canales de comunicación entre los departamentos de la empresa.
44,Estructura y Rumbo Organizacional,Comunicación Organizacional,En general en la empresa la comunicación entre las personas facilita el desempeño del trabajo.
45,Estilos de Liderazgo y Supervisión,Comunicación Jefe-Colaborador,Me queda muy claro lo que mi jefe espera de mi.
46,Servicios y Condiciones de Trabajo,Ambiente de trabajo,El ambiente de trabajo es agradable y positivo.
47,Desafío y Oportunidad de Desarrollo,Características de Trabajo,Los resultados esperados de mi trabajo están claramente definidos.
48,Desafío y Oportunidad de Desarrollo,Capacitación,Los cursos y pláticas que he recibido de la empresa están bien organizados.
